1,"עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים .","עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים .",1
2,"תופעה זו התבררה אתמול ב וועדת ה עבודה ו ה רווחה של ה כנסת , ש דנה ב נושא העסקת עובדים זרים .","תופעה זו התבררה אתמול ב וועדת ה עבודה ו ה רווחה של ה כנסת , ש דנה ב נושא העסקת עובדים זרים .",2
3,"יו""ר ה וועדה , ח""כ אורה נמיר ( מערך ) , טענה כי "" מביאים עובדים זרים ל ישראל על תקן של מתנדבים מ תאילנד , רק כדי לא לשלם להם שכר מינימום .","יו""ר ה וועדה , ח""ך אורה נמיר ( מערך ) , טענה כי "" מביאים עובדים זרים ל ישראל על תקן של מתנדבים מ תאילנד , רק כדי לא לשלם ל המ שכר מינימום .",3
4,"מ צד אחד רוצה ה אוצר להוריד את שכר ה מינימום , ו מ צד שני מתיר משרד ה עבודה ו ה רווחה להעסיק עובדים זרים ב פחות מ שכר זה "" .","מ צד אחד רוצה ה אוצר להוריד את שכר ה מינימום , ו מ צד שני מתיר משרד ה עבודה ו ה רווחה להעסיק עובדים זרים ב פחות מ שכר זה "" .",4
5,"נמיר הודיעה כי תפנה ל שרי ה פנים ו ה עבודה ו ה רווחה ו ל מזכיר תנועת ה מושבים , ב תביעה לבטל את הזמנתם של 500 עובדים זרים מ תאילנד כ מתנדבים כביכול .","נמיר הודיעה כי תפנה ל שרי ה פנים ו ה עבודה ו ה רווחה ו ל מזכיר תנועת ה מושבים , ב תביעה לבטל את הזמנתם של 500 עובדים זרים מ תאילנד כ מתנדבים כביכול .",5
6,"היא הודיעה כי ה וועדה תגבש הצעת חוק ב נושא ה עובדים ה זרים , ש תכלול איסור על מתן שכר ל ה_ עובדים מתחת ל שכר ה מינימום ו מתן ה תנאים ה סוציאליים ה מקובלים ב מקום ה עבודה .","היא הודיעה כי ה וועדה תגבש הצעת חוק ב נושא ה עובדים ה זרים , ש תכלול איסור על מתן שכר ל ה עובדים מתחת ל שכר ה מינימום ו מתן ה תנאים ה סוציאליים ה מקובלים ב מקום ה עבודה .",6
7,"כמו כן , תציב הצעת ה חוק עונשי מאסר ו הטלת קנסות כבדים ל מי ש יעסיק עובדים זרים בלא רשיון .","כמו כן , תציב הצעת ה חוק עונשי מאסר ו הטלת קנסות כבדים ל מי ש יעסיק עובדים זרים בלא רשיון .",7
8,"מרגלית אילת , ה ממונה על מתן היתרי עבודה ל זרים ב שירות ה תעסוקה , מסרה כי תנועת ה מושבים הפעילה לחץ ש יותר לה להביא עובדים זרים מ תאילנד .","מרגלית אילת , ה ממונה על מתן היתרי עבודה ל זרים ב שירות ה תעסוקה , מסרה כי תנועת ה מושבים הפעילה לחץ ש יותר ל היא להביא עובדים זרים מ תאילנד .",8
9,"היא אמרה כי שירות ה תעסוקה הציע להביא עובדים מ דרום לבנון , אך תנועת ה מושבים סירבה .","היא אמרה כי שירות ה תעסוקה הציע להביא עובדים מ דרום לבנון , אך תנועת ה מושבים סירבה .",9
10,"ישראל ארד , סמנכ""ל ה ביטוח ה לאומי , אמר כי ממלא מקום שר ה עבודה ו ה רווחה , דוד מגן , הקים ועדה בין - משרדית , ש המליצה להגדיל ב אופן משמעותי את ה קנסות ל ה_ מעסיקים .","ישראל ארד , סמנכ""ל ה ביטוח ה לאומי , אמר כי ממלא מקום שר ה עבודה ו ה רווחה , דוד מגן , הקים ועדה בין - משרדית , ש המליצה להגדיל ב אופן משמעותי את ה קנסות ל ה מעסיקים .",10
11,"ח""כ אלי דיין ( מערך ) הגיש הצעת חוק שלפיה יוטל היטל על מעסיקי עובדים זרים , כדי למנוע העדפתם על עובדים ישראליים .","ח""ך אלי דיין ( מערך ) הגיש הצעת חוק ש לפי היא יוטל היטל על מעסיקי עובדים זרים , כדי למנוע העדפתם על עובדים ישראליים .",11
