1,"עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים ."
2,"תופעה זו התבררה אתמול ב וועדת ה עבודה ו ה רווחה של ה כנסת , ש דנה ב נושא העסקת עובדים זרים ."
3,"יו""ר ה וועדה , ח""ך אורה נמיר ( מערך ) , טענה כי "" מביאים עובדים זרים ל ישראל על תקן של מתנדבים מ תאילנד , רק כדי לא לשלם ל המ שכר מינימום ."
4,"מ צד אחד רוצה ה אוצר להוריד את שכר ה מינימום , ו מ צד שני מתיר משרד ה עבודה ו ה רווחה להעסיק עובדים זרים ב פחות מ שכר זה "" ."
5,"נמיר הודיעה כי תפנה ל שרי ה פנים ו ה עבודה ו ה רווחה ו ל מזכיר תנועת ה מושבים , ב תביעה לבטל את הזמנתם של 500 עובדים זרים מ תאילנד כ מתנדבים כביכול ."
6,"היא הודיעה כי ה וועדה תגבש הצעת חוק ב נושא ה עובדים ה זרים , ש תכלול איסור על מתן שכר ל ה עובדים מתחת ל שכר ה מינימום ו מתן ה תנאים ה סוציאליים ה מקובלים ב מקום ה עבודה ."
7,"כמו כן , תציב הצעת ה חוק עונשי מאסר ו הטלת קנסות כבדים ל מי ש יעסיק עובדים זרים בלא רשיון ."
8,"מרגלית אילת , ה ממונה על מתן היתרי עבודה ל זרים ב שירות ה תעסוקה , מסרה כי תנועת ה מושבים הפעילה לחץ ש יותר ל היא להביא עובדים זרים מ תאילנד ."
9,"היא אמרה כי שירות ה תעסוקה הציע להביא עובדים מ דרום לבנון , אך תנועת ה מושבים סירבה ."
10,"ישראל ארד , סמנכ""ל ה ביטוח ה לאומי , אמר כי ממלא מקום שר ה עבודה ו ה רווחה , דוד מגן , הקים ועדה בין - משרדית , ש המליצה להגדיל ב אופן משמעותי את ה קנסות ל ה מעסיקים ."
11,"ח""ך אלי דיין ( מערך ) הגיש הצעת חוק ש לפי היא יוטל היטל על מעסיקי עובדים זרים , כדי למנוע העדפתם על עובדים ישראליים ."
12,"חברות ה מעסיקות עובדים זרים זוכות ב מכרזים , היות ו הן מציעות שירותים זולים יותר ."
13,"ח""ך רן כהן ( רץ ) אמר כי על ה וועדה לפנות ל ה ממשלה ב דרישה לחסל את העסקת ה עובדים ה זרים לאלתר , על רקע היצע ה עולים ה מוכנים לעבוד ב כל עבודה ב שכר ה מינימום ."
14,"ל דבריו , יש לפנות ל משרד ה עבודה ו ה רווחה ב דרישה לבטל בתוך חודש את עבודת ה עובדים ה זרים ה מועסקים כיום תחת ה כותרת "" מתנדבים "" ."
15,"ח""ך יאיר צבן ( מפם ) אמר כי פרשת ה מתנדבים ה תאילנדיים היא "" כתם חרפה על פרצופנו ה לאומי ."
16,ה מוח מתפלץ לא רק מ ה תופעה ה מבישה אלא גם מ דרכי ה הערמה .
17,"ה ראש ה יהודי ממציא ל אנחנו פטנטים ב דמות מתנדבים , ה משולמים שכר מחפיר "" ."
18,"הוא קרא ל הפסקת ה תופעה ו ל מתן תשלומים רטרואקטיוויים ל ה תאילנדים , ש ישלימו את שכר ה מינימום ."
19,"דוברת שירות ה תעסוקה מסרה אתמול ב תגובה , כי ה שירות פועל ל צמצום מספרם של ה עובדים ה זרים ו ל הכנסת עולים חדשים ב מקומם ."
20,""" לאחר פעילות נמרצת ב ה שבועות ה אחרונים , צומצם מספר ה עובדים ה זרים ב ענף ה אחיות ב 50 % ."
21,"עד סוף ה שנה לא תועסק ב ה ארץ אף אחות כ עובדת זרה "" ."
22,"ה דוברת אמרה כי ה שירות קורא ל ה חקלאים לדאוג ל עובדים ישראליים , במקום ל תאילנדים ."
23,""" ה שירות לא שינה את ה מדיניות ב נושא העסקת תאילנדים ב חקלאות , אלא להיפך , הוא הבהיר ל תנועת ה מושבים ש כל עובד ישראלי ש יסכים לעבוד ב ענף ה חקלאות , ישובץ ל ה עבודה לאלתר "" ."
24,"מאמרו של תום שגב , "" ה קרב על סן סימון היה או לא היה "" ( "" ה ארץ "" 105 ) , הגיע ל ידי רק ב ימים אלה ."
25,"למרות ש חלפו מאז 24 שנה , ו למרות ש אירועי ימים אלה אולי מאפילים על כל דבר אחר , אני מרגיש חובה ב שמם של ה חללים , ה פצועים ו לוחמי ה קרב ה זה , כ אחד ש היה שם , להתייחס ל ה מאמר ."
26,"קטעי ה מאמר ה עוסקים ב ה קרב עצמו , ו ש רק אלי המ אתייחס , מאופיינים ב חוסר היגיון ו ב סילוף עובדות , ו מעידים על ה כותב כי הוא משולל הבנה טקטית מינימלית ו ניסיון קרבי משמעותי ."
27,"ו כעת ל ה עובדות ה מצוטטות : כותרת ה מאמר , "" ה קרב על סן סימון : היה לא היה "" , מרמזת כי ייתכן ש ב ה מנזר כלל לא התנהל קרב ."
28,"ל כל אלה ה מתרשמים ו מסתפקים ב קריאת ה כותרת בלבד , אני יכול להבטיח ש אכן התנהל שם קרב , ו הוא היה אחד ה קשים ו ה מפוארים ב כל קרבות ישראל ."
29,"ו על כך תעיד ה היסטוריה , ו יעידו עשרות ה לוחמים ש נשארו ב ה חיים ו הצליחו לבצע את משימתם על אף ה אבדות ה כבדות ."
30,"ב מלחמת ה עצמאות , ב ה קרב על ירושלים , נשארה שכונת קטמון תקועה ב לב ירושלים ה מערבית ו שימשה כ מרכז כוח ערבי רב ו מאורגן ."
31,"ה שטח ה חיוני של קטמון ל שליטה ב אזור מסוים או ל ניצחון ב ה קרב היה מנזר סן סימון , ו לכן היה עלי אנחנו להשתלט עלי הוא ."
32,"כתוב : "" ב חוכמה עשה ל אתה מלחמה "" ."
33,"אכן , כך עשתה חטיבת "" הראל "" ."
34,"היא כבשה תחילה את ה מנזר ו את התנגדות ה אויב שברה לאחר מ כן , ב קרב מגננה ש התנהל בתוך ה מנזר ( קרב מגננה מיועד ל שבירת כוחות חזקים מ אתה ) ."
35,ה אויב אמנם נשבר ; קרב ה מגננה הפך ל ניצחון מוחץ ; קטמון נפלה ו ירושלים ה מערבית אוחדה .
36,"ה מאמר , ה מצטט מ מחקרו של אורי מילשטיין : "" מלכתחילה לא היה צריך לכבוש את ה מנזר ... "" , מצביע על חוסר הבנה אסטרטגית ו טקטית ב סוגיה זו ."
37,"מורשת ה קרב ש צה""ל אימץ כ תוצאה מ ה קרב על מנזר סן סימון איננה מיתוס ."
38,"היא מבוססת על אותו קרב ה מגננה ש ב הוא אירעו מעשי גבורה עילאיים , ו על קבלת החלטות קשות ב תנאי קרב ."
39,"חוסר ניסיון ו עלילה זדונית באים ל ביטוי ב קטע ה מאמר ה דן ב נושא "" רצח ה נזירות "" ."
40,"כל ישראלי ה מנוסה ב קרב לילה ב שטח בנוי ( כ מנזר סן סימון ) יודע , כי תוך כדי פריצה ב ה חשכה קודם כל יורים ב כל דבר ש נע מ מול אתה ."
41,"ו אכן , כך קרה ב ה פריצה ל ה מנזר ה חשוך לחלוטין ."
42,"לא נהרגו "" נזירות "" , אלא נשים ערביות , כנראה משרתות ב ה מנזר ."
43,חבל .
44,איש לא התכוון ל כך .
45,"ציטוט מ ה מאמר : "" ב עת ש נורתה , ( ה נזירה ) עסקה ב טיפול ב פצועים "" ."
46,איזה פצועים ?
47,"הרי כותב ה מאמר קובע , פסקה קודם ל ה כן , כי ה מנזר היה ריק מ מגינים ."
48,"אני הייתי שם , ו כל תיאור ה גווייה ( "" זה היה מראה איום של דם ו בשר ו איברי מין "" ) הוא שקר ו כזב ."
49,"לא היה כאן רצח נזירות , אלא ניסיון ל רצח טוהר ה נשק של ה פלמ""ח ב טוהר עט ה סופרים של ה כותב ."
50,"ה ידיעה ש פורסמה תחת ה כותרת : "" הורים ב בית ה ספר ב נווה - מונוסון נגד טיול ל ירושלים ; טוענים : הפגנה פוליטית "" ; ( "" ה ארץ "" , 0192 ) , הטרידה את אני מאוד ."
51,"נילי מנדלר , ש מסרה את ה ידיעה מ פי הורים ( אין יודעים אם מדובר ב הורה בודד , או ב קבוצת הורים מסוימת ) , כתבה כי "" אחד ה הורים , ש החזיר ל ה מנהלת את ה ספח ה חוזר ש ב הוא הביע התנגדות ל השתתפות ילדו ב ה טיול , טען כי "" זהו חינוך פוליטי כאשר ילדינו משמשים אמצעי חי ל הפגנות "" ."
52,"לשם איזון ה נושא , על אני לציין כי אני נמנה על ה הורים ש הביעו את הסכמתם ל קיום ה טיול ."
53,לא רק ש אין זה עניין פוליטי אלא זה נושא חינוכי - לאומי מ מדרגה ראשונה .
54,"אני גם מוכן להסתכן ו לשער כי ה הורה , או קבוצת ה הורים ש התנגדה ל ה טיול , מסתתרים תחת ה מעטה של טיעון פוליטי נבוב ו למעשה הם פוחדים לשלוח את ילדיהם שמא איזה ערבי ינעץ ב המ סכין ב ה גב ."
55,"אני מוכן , ו רוצה , לשלוח את ה ילד של אני ל ירושלים עם זר פרחים ו עם קופסת ממתקים , כדי להביע הוקרה ו עידוד ל ה נכד של אבא קובנר , ש חטף סכין ב ה ראש מידי אותו מרצח שפל ש דקר ל ה מוות שלושה יהודים ב שכונת בקעה ."
56,"אני רוצה ש ה ילד של אני יסתכל ב ה עיניים של ה ילד ה פגוע ו יגיד ל הוא : "" אתה לא לבדך ב ירושלים , כי גם אנחנו ה גרים ב נווה - מונסון , עם אתה ב לב איתן ביחד "" ."
57,"אני מוכן להעיד כי גם אבי ז""ל , ש לקח את אני ב אוטובוס ל ירושלים ב שנת תרצ""ח כאשר ה ערבים ירו על כביש באב אל - ואד , אמר ל אני : "" אלי ! אם תשמע יריות תתכופף , אבל אל תפחד "" ."
58,"ו לכן אני אומר ל כל ילדי ישראל : אל תפחדו ! סעו ל ירושלים , אפילו אם יורים או אם מתעופפים שם סכינים ."
59,"ה פטיש ה כבד ש הנחית ה פועל ה ערבי על ראשיהם של מעסיקו ו חברו , ה סכין ש ידו של איש ה מרכול תקעה ב אחד ה ספקים , ו רצח ה מסעדן ב עין כרם זה לא מ כבר על - ידי אחד מ עובדיו , אף הוא ערבי , מעלה מ נבכי ה זיכרון את ה פתגם : "" ה מגדל נחש שפיפון ב ביתו , אל יופתע אם ימצא עצמו מוכש "" ."
