id,col,sp,ud
3_4,forms,"ח""ך","ח""כ"
3_28,forms,ל המ,ל_ _הם
5_16,forms,הזמנתם,הזמנה_ _של_ _הם
6_17,forms,ל ה עובדים,ל ה_ עובדים
8_20,forms,ל היא,ל_ _היא
10_31,forms,ל ה מעסיקים,ל ה_ מעסיקים
11_1,forms,"ח""ך","ח""כ"
11_10,forms,ש לפי היא,ש לפי_ _היא
11_20,forms,העדפתם,העדפה_ _של_ _הם
13_1,forms,"ח""ך","ח""כ"
13_12,forms,ל ה ממשלה,ל ה_ ממשלה
14_1,forms,ל דבריו,ל דבר_ _של_ _הוא
15_1,forms,"ח""ך","ח""כ"
15_17,forms,פרצופנו,פרצוף_ _של_ _אנחנו
17_4,forms,ל אנחנו,ל_ _אנחנו
18_8,forms,ל ה תאילנדים,ל ה_ תאילנדים
19_12,forms,מספרם,מספר_ _של_ _הם
19_19,forms,ב מקומם,ב מקום_ _של_ _הם
20_5,forms,ב ה שבועות,ב ה_ שבועות
21_6,forms,ב ה ארץ,ב ה_ ארץ
22_6,forms,ל ה חקלאים,ל ה_ חקלאים
23_28,forms,ל ה עבודה,ל ה_ עבודה
24_1,forms,מאמרו,מאמר_ _של_ _הוא
24_24,forms,ל ידי,ל יד_ _של_ _אני
25_21,forms,ב שמם,ב שם_ _של_ _הם
25_35,forms,ל ה מאמר,ל ה_ מאמר
26_4,forms,ב ה קרב,ב ה_ קרב
26_8,forms,אלי המ,אל_ _הם
27_2,forms,ל ה עובדות,ל ה_ עובדות
27_22,forms,ש ב ה מנזר,ש ב ה_ מנזר
29_10,forms,ב ה חיים,ב ה_ חיים
29_14,forms,משימתם,משימה_ _של_ _הם
30_4,forms,ב ה קרב,ב ה_ קרב
31_10,forms,ב ה קרב,ב ה_ קרב
31_18,forms,עלי אנחנו,על_ _אנחנו
31_20,forms,עלי הוא,על_ _הוא
32_6,forms,ל אתה,ל_ _אתה
34_25,forms,מ אתה,מן_ _אתה
36_4,forms,מ מחקרו,מ מחקר_ _של_ _הוא
38_7,forms,ש ב הוא,ש ב_ _הוא
40_19,forms,ב ה חשכה,ב ה_ חשכה
40_26,forms,מ מול אתה,מ מולך _אתה
41_5,forms,ב ה פריצה,ב ה_ פריצה
41_6,forms,ל ה מנזר,ל ה_ מנזר
42_13,forms,ב ה מנזר,ב ה_ מנזר
47_8,forms,ל ה כן,ל ה_ כן
50_32,forms,את אני,את_ _אני
51_30,forms,ל ה מנהלת,ל ה_ מנהלת
51_34,forms,ש ב הוא,ש ב_ _הוא
51_38,forms,ילדו,ילד_ _של_ _הוא
51_39,forms,ב ה טיול,ב ה_ טיול
51_48,forms,ילדינו,ילד_ _של_ _אנחנו
52_5,forms,על אני,על_ _אני
52_14,forms,הסכמתם,הסכמה_ _של_ _הם
54_13,forms,ל ה טיול,ל ה_ טיול
54_27,forms,ילדיהם,ילד_ _של_ _הם
54_32,forms,ב המ,ב_ _הם
54_34,forms,ב ה גב,ב ה_ גב
55_9,forms,של אני,של_ _אני
55_22,forms,ל ה נכד,ל ה_ נכד
55_29,forms,ב ה ראש,ב ה_ ראש
55_35,forms,ל ה מוות,ל ה_ מוות
56_4,forms,של אני,של_ _אני
56_6,forms,ב ה עיניים,ב ה_ עיניים
56_11,forms,ל הוא,ל_ _הוא
56_27,forms,עם אתה,אתך _אתה
57_6,forms,אבי,אב_ _של_ _אני
57_10,forms,את אני,את_ _אני
57_26,forms,ל אני,ל_ _אני
59_7,forms,ראשיהם,ראש_ _של_ _הם
59_9,forms,מעסיקו,מעסיק_ _של_ _הוא
59_10,forms,ו חברו,ו חבר_ _של_ _הוא
59_13,forms,ש ידו,ש יד_ _של_ _הוא
59_32,forms,מ עובדיו,מ עובד_ _של_ _הוא
59_48,forms,ב ביתו,ב בית_ _של_ _הוא
62_30,forms,מחדליהם,מחדל_ _של_ _הם
63_2,forms,כישלונו,כישלון_ _של_ _הוא
63_18,forms,קציניו,קצין_ _של_ _הוא
65_4,forms,ב ה מדינה,ב ה_ מדינה
65_10,forms,מעשיהם,מעשה_ _של_ _הם
67_35,forms,גורלם,גורל_ _של_ _הם
68_9,forms,ל ידיהם,ל יד_ _של_ _הם
69_4,forms,מכתבה,מכתב_ _של_ _היא
69_21,forms,ב ה משכנתא,ב ה_ משכנתא
70_1,forms,ב רצוני,ב רצון_ _של_ _אני
70_5,forms,ב דבריה,ב דבר_ _של_ _היא
70_14,forms,ל מצבנו,ל מצב_ _של_ _אנחנו
73_15,forms,ב ה עולם,ב ה_ עולם
73_20,forms,ש ב הנ,ש ב_ _הן
74_2,forms,ל ה הצמדה,ל ה_ הצמדה
74_3,forms,ו ל ה אינפלציה,ו ל ה_ אינפלציה
75_1,forms,ב ה 16,ב ה_ 16
75_9,forms,ב ה מערב,ב ה_ מערב
76_5,forms,ב ה הפגנה,ב ה_ הפגנה
76_9,forms,ב ה מפרץ,ב ה_ מפרץ
77_10,forms,לעבר הוא,לעבר_ _הוא
80_2,forms,עלי היא,על_ _היא
80_5,forms,ב היא,ב_ _היא
81_10,forms,את הוא,את_ _הוא
82_8,forms,ו ל פרנסתה,ו ל פרנסה_ _של_ _היא
82_11,forms,את המ,את_ _הם
83_10,forms,ב ה מערב,ב ה_ מערב
83_27,forms,פלישתם,פלישה_ _של_ _הם
85_1,forms,כלכלתה,כלכלה_ _של_ _היא
87_9,forms,ב ה מפרץ,ב ה_ מפרץ
88_3,forms,ב ה שבוע,ב ה_ שבוע
88_20,forms,מוספו,מוסף_ _של_ _הוא
91_8,forms,של הוא,של_ _הוא
92_2,forms,ב היא,ב_ _היא
92_8,forms,ו מ פיו,ו מ פה_ _של_ _הוא
95_17,forms,ל אני,ל_ _אני
96_3,forms,שיחי,שיח_ _של_ _אני
97_2,forms,כ ה אלה,כ ה_ אלה
99_2,forms,ב ה מפרץ,ב ה_ מפרץ
100_5,forms,ו יריבו,ו יריב_ _של_ _הוא
101_3,forms,ב ה נשיא,ב ה_ נשיא
101_7,forms,ב ה צורך,ב ה_ צורך
103_26,forms,ב ה סנאט,ב ה_ סנאט
103_29,forms,ל ה קונטראס,ל ה_ קונטראס
104_1,forms,ב ה מפרץ,ב ה_ מפרץ
106_5,forms,מטהו,מטה_ _של_ _הוא
106_12,forms,מ סעיפיו,מ סעיף_ _של_ _הוא
107_15,forms,ל ה מחנה,ל ה_ מחנה
113_11,forms,ממן היא,מן_ _היא
114_17,forms,ידיהם,יד_ _של_ _הם
116_9,forms,מדינתו,מדינה_ _של_ _הוא
116_22,forms,ש בלעדי היא,ש בלעדי_ _היא
117_7,forms,ב ה עתיד,ב ה_ עתיד
118_16,forms,ל ה שכר,ל ה_ שכר
119_20,forms,ב ה חודש,ב ה_ חודש
119_25,forms,ב עיצומו,ב עיצום_ _של_ _הוא
120_11,forms,ל ה קטיף,ל ה_ קטיף
120_23,forms,ב ה משק,ב ה_ משק
121_1,forms,ב ה שבוע,ב ה_ שבוע
121_27,forms,ב ה קטיף,ב ה_ קטיף
122_7,forms,העסקתם,העסקה_ _של_ _הם
122_10,forms,ב ה קטיף,ב ה_ קטיף
123_18,forms,ל ה שנתיים,ל ה_ שנתיים
123_21,forms,ב מסגרתו,ב מסגרת_ _של_ _הוא
126_4,forms,ב ה מכונית,ב ה_ מכונית
126_6,forms,ב דרכו,ב דרך_ _של_ _הוא
126_12,forms,של היא,של_ _היא
127_3,forms,ב מכוניתו,ב מכונית_ _של_ _הוא
127_7,forms,ב ה מקום,ב ה_ מקום
128_9,forms,ו ממן היא,ו מן_ _היא
129_6,forms,אשתו,איש_ _של_ _הוא
131_2,forms,מותו,מוות_ _של_ _הוא
131_8,forms,ב ה צהריים,ב ה_ צהריים
132_4,forms,ב ה דבר,ב ה_ דבר
132_5,forms,ב ה ארץ,ב ה_ ארץ
132_10,forms,שמו,שם_ _של_ _הוא
132_12,forms,תפקידו,תפקיד_ _של_ _הוא
133_4,forms,ב מכוניתו,ב מכונית_ _של_ _הוא
133_6,forms,מזוודותיו,מזוודה_ _של_ _הוא
134_10,forms,ל ה קונסוליה,ל ה_ קונסוליה
136_17,forms,ב דירתו,ב דירה_ _של_ _הוא
137_9,forms,ו ב הוא,ו ב_ _הוא
137_10,forms,שמו,שם_ _של_ _הוא
137_11,forms,ו תוארו,ו תואר_ _של_ _הוא
138_6,forms,ל ה מפעל,ל ה_ מפעל
139_5,forms,ב מותו,ב מוות_ _של_ _הוא
139_8,forms,אחרי הוא,אחרי_ _הוא
140_5,forms,ל הלווייתו,ל הלוויה_ _של_ _הוא
141_5,forms,ב ה שטחים,ב ה_ שטחים
141_16,forms,ו ב המ,ו ב_ _הם
141_20,forms,ב ה שטחים,ב ה_ שטחים
142_8,forms,ב הוא,ב_ _הוא
143_9,forms,של הוא,של_ _הוא
143_15,forms,חלקם,חלק_ _של_ _הם
144_15,forms,לשונו,לשון_ _של_ _הוא
144_20,forms,של אתמ,של_ _אתם
145_3,forms,אלי אתמ,אל_ _אתם
145_6,forms,אל אני,אל_ _אני
146_1,forms,כמות הוא,כמו_ _הוא
146_4,forms,אל אני,אל_ _אני
146_10,forms,ל ה פח,ל ה_ פח
147_1,forms,אבקש אות אתמ,אבקשכם את _אתם
147_3,forms,אל אני,אל_ _אני
148_2,forms,עבודתי,עבודה_ _של_ _אני
150_5,forms,סיפורה,סיפור_ _של_ _היא
150_9,forms,ב ה ימים,ב ה_ ימים
151_9,forms,ל ה תושבים,ל ה_ תושבים
151_18,forms,ל אתה,ל_ _אתה
152_2,forms,עם אנחנו,אתנו _אנחנו
154_1,forms,קצה,קץ_ _של_ _היא
154_7,forms,ב ה אופק,ב ה_ אופק
156_10,forms,ב הוא,ב_ _הוא
156_24,forms,כולה,כולה _היא
156_30,forms,כש ב לבם,כש ב לב_ _של_ _הם
156_37,forms,ב היא,ב_ _היא
157_12,forms,עלי המ,על_ _הם
157_13,forms,ב ה עיתונות,ב ה_ עיתונות
163_5,forms,ב ה מובן,ב ה_ מובן
164_11,forms,ל מחייתם,ל מחיה_ _של_ _הם
165_7,forms,ל מחשבותיכם,ל מחשבה_ _של_ _אתם
165_8,forms,ו ל מעשיכם,ו ל מעשה_ _של_ _אתם
165_10,forms,עלי אתמ,על_ _אתם
165_12,forms,את הוא,את_ _הוא
165_13,forms,ב ה דרך,ב ה_ דרך
165_17,forms,ל ה קרן,ל ה_ קרן
165_26,forms,ממן הוא,ממנו _הוא
171_6,forms,עלי אתה,על_ _אתה
172_17,forms,מ של אתה,מ _של_ _אתה
172_26,forms,של אתה,של_ _אתה
173_13,forms,מ של אתה,מ _של_ _אתה
175_10,forms,של הוא,של_ _הוא
175_21,forms,של הוא,של_ _הוא
175_29,forms,כמו היא,כמו_ _היא
176_5,forms,ל ה שלטונות,ל ה_ שלטונות
179_21,forms,בעקבות הוא,בעקבות_ _הוא
182_1,forms,ב ה ספר,ב ה_ ספר
183_3,forms,מ תרומותיהן,מ תרומה_ _של_ _הן
183_16,forms,של הנ,של_ _הן
183_18,forms,ל ה דרגים,ל ה_ דרגים
183_40,forms,את המ,את_ _הם
183_42,forms,את המ,את_ _הם
186_9,forms,ב המ,ב_ _הם
187_8,forms,ש ב הוא,ש ב_ _הוא
188_5,forms,ש בירתו,ש בירה_ _של_ _הוא
190_3,forms,ל ה השלכות,ל ה_ השלכות
190_6,forms,עבודתך,עבודה_ _של_ _אתה
191_11,forms,ו ב הוא,ו ב_ _הוא
191_12,forms,ב ה זמן,ב ה_ זמן
191_15,forms,דמיונו,דמיון_ _של_ _הוא
192_18,forms,ש בעקבות הוא,ש בעקבות_ _הוא
193_3,forms,ב ה מחקר,ב ה_ מחקר
193_8,forms,של הוא,של_ _הוא
196_6,forms,ב ה עשורים,ב ה_ עשורים
196_10,forms,ב ה תמיכה,ב ה_ תמיכה
196_16,forms,ל הנ,ל_ _הן
198_1,forms,ניסיונו,ניסיון_ _של_ _הוא
199_5,forms,ב ה גורמים,ב ה_ גורמים
201_14,forms,ש ל דעתו,ש ל דעה_ _של_ _הוא
202_7,forms,ל ה קרן,ל ה_ קרן
209_21,forms,את המ,את_ _הם
210_7,forms,כ ה אלה,כ ה_ אלה
210_8,forms,ל ה השפעה,ל ה_ השפעה
212_11,forms,ל ה מסע,ל ה_ מסע
216_26,forms,ל המ,ל_ _הם
219_8,forms,ביני המ,בין_ _הם
220_34,forms,ש ב סופו,ש ב סוף_ _של_ _הוא
220_38,forms,את המ,את_ _הם
221_2,forms,ו חבריו,ו חבר_ _של_ _הוא
221_16,forms,של הנ,של_ _הן
221_17,forms,ל ה יוצאים,ל ה_ יוצאים
224_8,forms,ש ב היא,ש ב_ _היא
224_21,forms,ל ה מזימה,ל ה_ מזימה
225_25,forms,ל ה חשיבה,ל ה_ חשיבה
228_22,forms,ל ה תמיכה,ל ה_ תמיכה
228_33,forms,להציג אות המ,להציגם את _הם
228_34,forms,ב ה ציבור,ב ה_ ציבור
229_14,forms,פיה,פה_ _של_ _היא
229_22,forms,ב ה כיפה,ב ה_ כיפה
229_28,forms,את אתה,את_ _אתה
229_36,forms,ל אתה,ל_ _אתה
231_14,forms,ל ה ליברליזם,ל ה_ ליברליזם
232_10,forms,ל ניסיונו,ל ניסיון_ _של_ _הוא
233_4,forms,כ ה זו,כ ה_ זו
235_19,forms,את הנ,את_ _הן
237_18,forms,ל הוא,ל_ _הוא
239_9,forms,ש עלי המ,ש על_ _הם
239_26,forms,ב ה איסט,ב ה_ איסט
241_12,forms,מספרן,מספר_ _של_ _הן
241_15,forms,ב ה מרכז,ב ה_ מרכז
241_18,forms,ממן הוא,מן_ _הוא
242_13,forms,של הוא,של_ _הוא
244_9,forms,של הנ,של_ _הן
245_18,forms,עיניהם,עין_ _של_ _הם
251_7,forms,ב ה יחסים,ב ה_ יחסים
252_13,forms,ב ה שאלה,ב ה_ שאלה
253_17,forms,לבם,לב_ _של_ _הם
256_18,forms,את הוא,את_ _הוא
256_21,forms,של אתה,של_ _אתה
259_17,forms,ידם,יד_ _של_ _הם
259_24,forms,ש ב ה עתיד,ש ב ה_ עתיד
261_23,forms,הזרמתו,הזרמה_ _של_ _הוא
261_29,forms,ב ה עולם,ב ה_ עולם
262_6,forms,אלי המ,אל_ _הם
263_10,forms,התמקדותם,התמקדות_ _של_ _הם
264_14,forms,ו עלייתה,ו עלייה_ _של_ _היא
264_30,forms,ב ערכו,ב ערך_ _של_ _הוא
264_38,forms,את אנחנו,את_ _אנחנו
264_45,forms,ש ממן הוא,ש מן_ _הוא
266_12,forms,ל ה מלחמה,ל ה_ מלחמה
268_3,forms,ל ה דעה,ל ה_ דעה
269_22,forms,ל הבהרתן,ל הבהרה_ _של_ _הן
270_13,forms,ערכם,ערך_ _של_ _הם
270_15,forms,ש ב המ,ש ב_ _הם
271_6,forms,עלי אתה,על_ _אתה
271_16,forms,טבעה,טבע_ _של_ _היא
271_27,forms,מקומו,מקום_ _של_ _הוא
271_31,forms,ב ה היסטוריה,ב ה_ היסטוריה
272_7,forms,אלי הוא,אל_ _הוא
273_13,forms,ב ה שנים,ב ה_ שנים
273_16,forms,ל ה מינימום,ל ה_ מינימום
275_3,forms,ב ה שיטה,ב ה_ שיטה
275_5,forms,ב ה מדגם,ב ה_ מדגם
275_18,forms,ב ה תהליך,ב ה_ תהליך
276_4,forms,מ המ,מן_ _הם
276_8,forms,ב ה בחירות,ב ה_ בחירות
276_9,forms,ל ה קונגרס,ל ה_ קונגרס
278_11,forms,ב ה דואר,ב ה_ דואר
278_34,forms,ביתם,בית_ _של_ _הם
279_3,forms,ש ב ה הצבעה,ש ב ה_ הצבעה
279_4,forms,ב ה קלפי,ב ה_ קלפי
279_6,forms,ידה,יד_ _של_ _היא
279_10,forms,ל ה מושל,ל ה_ מושל
280_5,forms,ב ה דואר,ב ה_ דואר
281_1,forms,משימתם,משימה_ _של_ _הם
281_5,forms,ב ה שנים,ב ה_ שנים
282_25,forms,ל ה מציאות,ל ה_ מציאות
283_8,forms,כ ה זאת,כ ה_ זאת
284_3,forms,ל הוא,ל_ _הוא
284_6,forms,ב ה בחירות,ב ה_ בחירות
285_4,forms,מפלגתו,מפלגה_ _של_ _הוא
285_7,forms,מדינתו,מדינה_ _של_ _הוא
285_10,forms,ב ה ניצחון,ב ה_ ניצחון
288_11,forms,סודיותה,סודיות_ _של_ _היא
289_3,forms,אלי המ,אל_ _הם
291_6,forms,להכשיל אות המ,להכשילם את _הם
292_9,forms,ב ה משרד,ב ה_ משרד
294_1,forms,ב ה יום,ב ה_ יום
294_22,forms,יריבו,יריב_ _של_ _הוא
295_13,forms,ב ניצחונו,ב ניצחון_ _של_ _הוא
300_3,forms,ב ה רבים,ב ה_ רבים
300_5,forms,יריבו,יריב_ _של_ _הוא
300_13,forms,ב ה גב,ב ה_ גב
300_17,forms,עלי הוא,על_ _הוא
302_12,forms,ש ב הוא,ש ב_ _הוא
303_4,forms,מ שומעיו,מ שומע_ _של_ _הוא
303_6,forms,ל הוא,ל_ _הוא
304_2,forms,מזגו,מזג_ _של_ _הוא
304_3,forms,ו הליכותיו,ו הליכה_ _של_ _הוא
304_7,forms,סביבותיו,סביבה_ _של_ _הוא
305_8,forms,ל הוא,ל_ _הוא
306_1,forms,ב ה 32,ב ה_ 32
306_4,forms,ממן הוא,מן_ _הוא
306_7,forms,ב ה עיתון,ב ה_ עיתון
306_28,forms,ל ה חברה,ל ה_ חברה
306_64,forms,ל כולנו,ל כולנו _הם
306_67,forms,ממן הוא,מן_ _הוא
306_70,forms,ב כיתתו,ב כיתה_ _של_ _הוא
307_11,forms,ב כיתתו,ב כיתה_ _של_ _הוא
307_21,forms,ל זרועותיו,ל זרוע_ _של_ _הוא
310_12,forms,זכייתו,זכייה_ _של_ _הוא
310_19,forms,ב מועמדותו,ב מועמדות_ _של_ _הוא
311_5,forms,לראות אות הוא,לראותו את _הוא
311_7,forms,ב ה בית,ב ה_ בית
314_6,forms,תוצאותיה,תוצאה_ _של_ _היא
314_9,forms,מאת אנחנו,מאת_ _אנחנו
315_4,forms,ל ה אוניברסיטה,ל ה_ אוניברסיטה
316_7,forms,הכנותיהן,הכנה_ _של_ _הן
320_5,forms,ב טיפולו,ב טיפול_ _של_ _הוא
320_27,forms,ל המ,ל_ _הם
321_7,forms,עם המ,אתם _הם
323_26,forms,ש שמו,ש שם_ _של_ _הוא
327_9,forms,ב ה תוצאות,ב ה_ תוצאות
328_4,forms,ב היא,ב_ _היא
328_7,forms,ל ה טבח,ל ה_ טבח
329_7,forms,ל ה נשיאות,ל ה_ נשיאות
330_3,forms,של הוא,של_ _הוא
331_17,forms,ש סיכויו,ש סיכוי_ _של_ _הוא
332_9,forms,של הוא,של_ _הוא
333_6,forms,ל אתה,ל_ _אתה
333_8,forms,מ המ,מן_ _הם
333_20,forms,ל ה נשיאות,ל ה_ נשיאות
334_1,forms,ב ה מאה,ב ה_ מאה
334_12,forms,ב ה סנאט,ב ה_ סנאט
334_17,forms,של המ,של_ _הם
335_4,forms,ל ה נשיאות,ל ה_ נשיאות
338_19,forms,ל ה מועמד,ל ה_ מועמד
338_21,forms,ל ה נשיאות,ל ה_ נשיאות
339_1,forms,הצלחתה,הצלחה_ _של_ _היא
339_4,forms,מדינתו,מדינה_ _של_ _הוא
339_13,forms,מיומנותו,מיומנות_ _של_ _הוא
340_1,forms,ב סופו,ב סוף_ _של_ _הוא
346_21,forms,ל ה נשיאות,ל ה_ נשיאות
347_7,forms,ש מועמדם,ש מועמד_ _של_ _הם
347_13,forms,ל ה בית,ל ה_ בית
350_8,forms,ב ה הגיה,ב ה_ הגיה
350_11,forms,של היא,של_ _היא
350_23,forms,ב ה פה,ב ה_ פה
351_10,forms,ל יכולתו,ל יכולת_ _של_ _הוא
